# OVRO Measured IV curve
#   V(mV)      I(uA)
# --------    ------
-0.9295139 -7.133
-0.91527739 -7.2133
-0.90948011 -7.2117
-0.89602843 -7.2421
-0.88829613 -7.2611
-0.87583612 -7.2964
-0.8721076 -7.372
-0.85981253 -7.3691
-0.84808563 -7.3261
-0.83440127 -7.3169
-0.82338563 -7.3261
-0.81531687 -7.2489
-0.80699953 -7.2591
-0.79834067 -7.2349
-0.7860762 -7.214
-0.77947905 -7.1535
-0.76056953 -7.1591
-0.75946116 -7.1052
-0.74594892 -7.1124
-0.7397465 -7.055
-0.72392644 -7.0668
-0.71891586 -7.0142
-0.71154697 -6.9959
-0.70399304 -6.9688
-0.69173299 -6.9453
-0.68181935 -6.8945
-0.66779194 -6.8518
-0.66154154 -6.7638
-0.64927469 -6.7443
-0.6347112 -6.664
-0.6240217 -6.599
-0.6130475 -6.525
-0.60655073 -6.5231
-0.59561431 -6.4857
-0.59107806 -6.4482
-0.57575222 -6.4634
-0.56908363 -6.3861
-0.56269298 -6.3806
-0.54960382 -6.3154
-0.53985907 -6.2829
-0.53306876 -6.2772
-0.5198102 -6.194
-0.51108317 -6.2099
-0.50067055 -6.1585
-0.49375929 -6.1063
-0.47971216 -6.0752
-0.47466057 -5.9879
-0.45721446 -5.9562
-0.44863465 -5.8855
-0.43422522 -5.7734
-0.43282076 -5.7172
-0.42043891 -5.6477
-0.40688001 -5.5647
-0.40153339 -5.5333
-0.39362689 -5.4783
-0.38172719 -5.4193
-0.37061457 -5.3679
-0.3625994 -5.318
-0.350262 -5.34
-0.34473051 -5.2997
-0.33099961 -5.3767
-0.31904143 -5.3521
-0.3168589 -5.283
-0.3023357 -5.179
-0.28879975 -5.0825
-0.28682313 -4.9511
-0.2791848 -4.856
-0.26615884 -4.6948
-0.25811609 -4.6023
-0.24796973 -4.4531
-0.23758665 -4.3255
-0.22383281 -4.1807
-0.21065287 -4.1689
-0.20933715 -4.0605
-0.19446125 -3.9875
-0.18578068 -3.7996
-0.17277673 -3.7431
-0.16471609 -3.6023
-0.15726841 -3.5127
-0.14646153 -3.3991
-0.13895703 -3.2841
-0.1255779 -3.213
-0.12057939 -3.1533
-0.10630604 -3.0788
-0.09320685 -3.0195
-0.0881839 -3.033
-0.0805315 -3.005
-0.06808301 -2.9747
-0.05589916 -2.9652
-0.04521242 -2.9574
-0.03744897 -2.9359
-0.02316049 -2.8703
-0.01565459 -2.6973
-0.00616393 -0.9271
-0.00510847 2.0991
0.00302867 3.0949
0.01268811 3.1717
0.02783717 3.1899
0.03797593 3.1671
0.04625247 3.1809
0.0525673 3.231
0.06656713 3.2311
0.07191409 3.2623
0.08100678 3.2666
0.08623317 3.3099
0.09873491 3.3677
0.11604549 3.4203
0.12501544 3.4968
0.12786431 3.5857
0.14015712 3.7664
0.149366 3.82
0.16006867 3.9949
0.17353424 4.1328
0.18075149 4.2403
0.19490444 4.3268
0.1990018 4.446
0.21570715 4.5605
